standard_inchi_key,canonical_smiles
FSCXVFQUEGRJLW-VMPITWQZSA-N,O=C(C=Cc1ccc(Cl)cc1)c1cccnc1
NXNCCPMOSOUVJF-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCC(=O)OC(C(=O)c2ccccc2)c2ccccc2)cc1
UDJDZBKDACDLLY-GFCCVEGCSA-N,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)C(N)=O)[nH]c3ccc(Cl)cc23)c1
MQDWJQOZQAWYHL-UHFFFAOYSA-N,COc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2CC2CCCO2)cc1OC
LVEZEKXRACCOLZ-UHFFFAOYSA-N,O=C(O)c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1
MEZUDDJEDAEEOE-UHFFFAOYSA-N,CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)C(=O)CCc1ccccc1
FZZYBLUTDZATFA-UHFFFAOYSA-N,COc1cccc(NC(=O)c2ccccc2Oc2ccccc2)c1
XLMJBTKWBBMJFH-XXYXIWIZSA-N,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCCOC(=O)N4C3)cc(-c3ccccc3)nc2c1
AFGUBGJGDLCTHC-UHFFFAOYSA-N,COc1ccccc1OCC(=O)NNC(=S)NC(=O)c1ccco1
DMQWQJFJDXNMBJ-UHFFFAOYSA-N,CCN(C1CCCCC1)S(=O)(=O)c1ccc(S(=O)(=O)NCCc2ccncc2)cc1
KRZBCHWVBQOTNZ-VHOZIDCHSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(OC(=O)C=Cc2ccc(O)c(O)c2)C1O
KULFFYDAIJATCU-UHFFFAOYSA-N,COc1ccc(Cn2c(=O)n(Cc3ccco3)c(=N)c3c4c(sc32)COC(C)(C)C4)cc1
YGTYHSPJAZEBLK-UHFFFAOYSA-N,O=C(CN1CCN(c2ccc(F)cc2)CC1)N1CCC(Cc2ccccc2)CC1
VOMAOMHOLKCWSS-UHFFFAOYSA-N,N#CCCn1nc(-c2ccc(Cl)cc2)cc1Nc1ccccc1NC(=O)C(F)(F)F
MTYFPMXVVIGDEP-UHFFFAOYSA-N,O=C(CSc1cn(CCNC(=O)c2cccs2)c2ccccc12)NCC1CCCO1
DWLSOWMGPHYQCF-UHFFFAOYSA-N,CCOC(=O)c1ccc(NC(=S)N(CCN(C)C)C(C)c2ccncc2)cc1
UKNXBVBWXCQOKD-UHFFFAOYSA-N,COc1ccc(-c2noc(CCCc3ccccc3)n2)cc1OC
BKOCKOZLSUDOBA-UHFFFAOYSA-N,CCc1ccccc1Sc1cc(=O)n(O)c(=O)[nH]1
VEXNNTLYFREDFU-UHFFFAOYSA-N,COc1ccc(CNC(=O)C2C(=O)N(O)C(=O)c3ccccc32)c(OC)c1
JZUOZVFRPLKQLG-UBFVSLLYSA-N,Nc1cccc(CN2C(=O)NC(CCc3ccccc3)C(O)C2Cc2ccccc2)c1
VVFHSWWMNYFPLT-UHFFFAOYSA-N,COC(=O)c1ccc(NC(C)=O)cc1OC(C)C
ISDNZHWIUCSBKJ-PLRJNAJWSA-N,O=C1CCCC(=NNC(=O)c2ccc(CN3c4cccc5cccc(c45)S3(=O)=O)cc2)C1
NWKHKACZHWUEOR-WSDLNYQXSA-N,Cn1c2ccccc2c2cc(C=NNC(=O)c3cc(O)cc(O)c3)ccc21
UGTRUBJKEDFXDX-UHFFFAOYSA-N,Cc1ccccc1N(CC(=O)NCCSCc1ccco1)S(C)(=O)=O
WKAXGVGMKNUCHR-UHFFFAOYSA-N,O=c1[nH]c(Sc2ccc(Br)cc2)c(Br)c(=O)n1O
KXIVBGIBGRSENC-UHFFFAOYSA-N,Cc1ccc(N(C(=O)c2ccc(Br)o2)C2C=CS(=O)(=O)C2)cc1
RMCMSUNNRIEBDG-YSURURNPSA-N,COc1cccc(C=NNc2ncnc3c2ncn3Cc2ccccc2)c1O
QFEXCWPIMSQYML-WSDLNYQXSA-N,CC(C)(C)CC(C)(C)c1ccc(OCC(=O)NN=Cc2ccc(S(=O)(=O)O)o2)cc1
YCPOLQNZVXKIKH-FOCLMDBBSA-N,Cc1ccc2c(c1)C(=C1C(=O)Nc3ccccc31)C(=O)N2C
ITYGYRHLKWYXFV-UHFFFAOYSA-N,COc1ccccc1-c1nnc2sc(-c3cnccn3)nn12
MQJNUABGJUASJP-PTNGSMBKSA-N,Cc1ccc(S(=O)(=O)NC2=NC(=O)C(=Cc3ccccc3)S2)cc1
OZVBMTJYIDMWIL-AYFBDAFISA-N,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12
VCYVRAYCTRSTDK-ZOEOYGBESA-N,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1C(C)C)C1(C)CCCCC1)C1(C)CCOCC1)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
PDICAZYAWFUCRU-VXLYETTFSA-N,OC1=C(C=Nc2ccc3c(c2)OCO3)CCc2ccccc21
XNVWISKLIIVBQH-PGMHBOJBSA-N,O=C(CCC1CCCCC1)NC(=Cc1ccc(Oc2ccccc2Br)cc1)C(=O)O
