standard_inchi_key,canonical_smiles
FJZMUYWQVYIRNJ-VBNCLUCLSA-N,CCOC(=O)c1cc(C=NNC(=O)c2ccc3c(c2)OCO3)c(O)c(C=NNC(=O)c2ccc3c(c2)OCO3)c1
CHPRWKVRTHNVDK-NIVCGPJOSA-N,O=C(NC1c2ccccc2CC1O)C(Sc1ccccc1)C(O)C(O)C(Sc1ccccc1)C(=O)NC1c2ccccc2CC1O
TZPYDXYHSWJKAV-JDNBVNQFSA-N,COc1ccc2c(OC3CC(C(=O)NC4(C(=O)NS(=O)(=O)C5CC5)CC4)N(C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C3)cc(-c3ccccc3)nc2c1
VDDYVFMQYDQDHX-NRFANRHFSA-N,O=C(O)C(Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1I
ILKMSPMPYBCBOV-UHFFFAOYSA-N,O=C(O)c1ccc(COC(COCc2ccccc2)C(O)C(O)C(COCc2ccccc2)OCc2ccc(C(=O)O)cc2)cc1
NGMCNEDPAAWIHS-CUYJMHBOSA-N,CCC(=O)c1cnc(C(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OC(C)(C)C)s1
UPDDIBZITPTASO-VMPITWQZSA-N,O=C1NC(=O)C(=Cc2ccc(O)cc2)N1
IOSPSHIOOOTZPB-AWEZNQCLSA-N,CCC(N)c1ccc(Cl)c(C(=O)c2cccc(CO)c2)c1F
VICKYUYMQMONNP-URORMMCBSA-N,COc1cc(C(=O)NC(Cc2ccccc2)C(O)CC(Cc2ccccc2)NC(=O)OC(C)(C)C)ccc1N
LHNFLUITCYRERV-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3cc4c(=O)n(Cc5ccc(F)cc5)nnc4cc3Cl)cc12
WWTORRPIIMGMSP-LIRVCHIBSA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(N)=O
QTNAAUNGPVSOQG-JZJGJFRJSA-N,CC(Cc1ccccc1)NC(=O)C1NC(C(NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)SC1(C)C
JZWPNMUALMUSTK-KHYUZEIRSA-N,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCCCC(=O)N4C3)cc(-c3nccs3)nc2c1Br
YECDQFPLMKLHCN-UHFFFAOYSA-N,CNC(=O)c1c(-c2cnc(C)s2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CC4)cc12
DXPPSGZWDKIKAH-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)cc1OC
RBQFQIDRSWJIRR-IBWWWXFVSA-N,CC(C)(NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C)C(=O)OCc1ccccc1
JOIOEIGILSPPFJ-AQZFQLLWSA-N,CC(=O)NC1CCCCC1NC(=O)C(Cc1ccccc1)CC(O)CC(Cc1ccccc1)C(=O)NC1CCCCC1NC(C)=O
RBKHNGHPZZZJCI-UHFFFAOYSA-N,Nc1ccc(C(=O)c2ccccc2)cc1
ONRFFTZCVKCXHJ-UHFFFAOYSA-N,O=C(Cn1cc(COc2cccc(NC(=O)Cn3sc4ccccc4c3=O)c2)nn1)Nc1ccccc1
ZFLYYXFZXJIQMC-QKDODKLFSA-N,NCCCCC(NC(=O)c1ccccc1)C(=O)N(C(=O)c1ccccc1)C(CCCCN)C(=O)NC(C=O)CCCN=C(N)N
MUULRSITXOVVFK-WGAQAMEHSA-N,CC(C)(C)NC(=O)C1CN(C(C)(C)c2cc3cnccc3o2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2OCC1O
JJPAWNWDPWKLCQ-WZJLIZBTSA-N,O=C1N(Cc2cccc(-c3ncn[nH]3)c2)C(Cc2ccccc2)C(O)C(O)C(Cc2ccccc2)N1Cc1cccc(-c2ncn[nH]2)c1
LGQICAULOIAVMN-IUVRRTPNSA-N,CNC(=O)C(NC(=O)C(Sc1cccs1)C(O)C(O)C(Sc1cccs1)C(=O)NC(C(=O)NC)C(C)C)C(C)C
YQMYRNQURKVARN-WFASDCNBSA-N,CCC(CC(N)=O)NC(CC)c1ccc(Cl)c(C(=O)c2ccc(N)nc2)c1F
GICUNLQJFCOMHL-XWHIBYANSA-N,COC(=O)c1cccc(N2C(=O)N(c3cccc(C(=O)OC)c3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)c1
TXLQTXBSBZOEEL-ONFDFNSZSA-N,O=C(COCc1ccccc1)Nc1ccccc1C(=O)NC(Cc1ccccc1)C(O)C(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)COCc1ccccc1
WURYNVFQFQLZJX-UHFFFAOYSA-N,CCCC1(CCc2ccccc2)CC(O)=C(Cc2cccc(NS(=O)(=O)c3cn(C)cn3)c2)C(=O)O1
GPYOJHGLKDMTSV-UHFFFAOYSA-N,Cc1cc(SC2=C(O)CC(CCc3ccc(O)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1NS(=O)(=O)c1cccnc1
DMZUPOFDIRSBAO-ABFXELCISA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CC(C)(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O
CVAADUVFDXNAFC-UHFFFAOYSA-N,COc1ccc(C(=O)c2ccc(N3CCN(c4ccccn4)CC3)c(N)c2)c(OC)c1
PVQNEPRTDDNIEP-AGDVDVTHSA-N,CCCCCC(NC(=O)C(NC(=O)OCC(C)C)C1CCCCC1)C(=O)NC(CCC)C(=O)C(=O)NCC(=O)NC(C(=O)O)c1ccccc1
WRWUSRADWXKZGV-UHFFFAOYSA-N,O=C(O)c1ccccc1Oc1ccc(F)cc1
