src,trg
CC(C)c1ccccc1SC1=C(O)CC(CCCC(=O)N2CCNCC2)(c2ccccc2)OC1=O,CC(C)c1ccccc1SC1=C(O)CC(CCCC(=O)N2CCNCC2)(c2ccccc2)OC1=O
COc1cc(OC)cc(N2C(=O)N(Cc3cccc(C(=O)Nc4ccccn4)c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1,COc1cc(OC)cc(N2C(=O)N(Cc3cccc(C(=O)Nc4ccccn4)c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1
CC(C)(C)NC(=O)c1ccccc1CC(O)C(Cc1ccccc1)NC(=O)C(CS(=O)(=O)c1ccc(F)cc1)NS(C)(=O)=O,CC(C)(C)NC(=O)c1ccccc1CC(O)C(Cc1ccccc1)NC(=O)C(CS(=O)(=O)c1ccc(F)cc1)NS(C)(=O)=O
O=C(NC(Cc1ccccc1)C(=O)N1CCC(=O)C1Sc1ccccc1)c1ccc2ccccc2n1,O=C(NC(Cc1ccccc1)C(=O)N1CCC(=O)C1Sc1ccccc1)c1ccc2ccccc2n1
CCCN(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(CN1C(=O)C3CCC(C3)C1=O)C(C)(C)C)C(C)(C)C)C2(C)C)C(=O)NC(C)c1ccccc1,CCCN(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(CN1C(=O)C3CCC(C3)C1=O)C(C)(C)C)C(C)(C)C)C2(C)C)C(=O)NC(C)c1ccccc1
OC(CC(COCc1ccccc1)OCc1ccccc1)C(COCc1ccccc1)OCc1ccccc1,OC(CC(COCc1ccccc1)OCc1ccccc1)C(COCc1ccccc1)OCc1ccccc1
CCC(C)C1NC(=O)C(NCC(Cc2ccccc2)NC(=O)OC(C)(C)C)Cc2ccc(cc2)OCCCNC1=O,CCC(C)C1NC(=O)C(NCC(Cc2ccccc2)NC(=O)OC(C)(C)C)Cc2ccc(cc2)OCCCNC1=O
CC(C)COC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CS)C(=O)NCCc1ccccc1C(=O)O,CC(C)COC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CS)C(=O)NCCc1ccccc1C(=O)O
NCCCCC(NC(=O)CCc1ccccc1)C(=O)NC(CCCCN)C(=O)NC(C=O)CCCN=C(N)N,NCCCCC(NC(=O)CCc1ccccc1)C(=O)NC(CCCCN)C(=O)NC(C=O)CCCN=C(N)N
NCCCCC(NC(=O)c1ccccc1N)C(=O)NC(CCCCN)C(=O)NC(C=O)CCCN=C(N)N,NCCCCC(NC(=O)c1ccccc1N)C(=O)NC(CCCCN)C(=O)NC(C=O)CCCN=C(N)N
COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5CCCCCCCS(=O)(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5CCCCCCCS(=O)(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C
C=CC1CC1(NC(=O)C1CC(OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C1CC(OC)(c2ccc(-c3ccccc3)cc2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
C=CC1CC1(NC(=O)C1CC(Oc2nccc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCOC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C1CC(Oc2nccc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCOC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
C=CC1CC1(NC(=O)C1CC(c2csc(-c3cc(C)ccc3OC)n2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C1CC(c2csc(-c3cc(C)ccc3OC)n2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)cc1)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)cc1)C(=O)NS(=O)(=O)C1CC1
C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3ccccc3)nc3cc(NC(C)=O)ccc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)O,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3ccccc3)nc3cc(NC(C)=O)ccc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)O
COc1ccc(CNC(C(=O)NC2c3ccccc3CC2O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)C=Cc2ccc(OC)c(O)c2)C(C)(C)C)cc1,COc1ccc(CNC(C(=O)NC2c3ccccc3CC2O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)C=Cc2ccc(OC)c(O)c2)C(C)(C)C)cc1
C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1CCF)C(C)(C)C)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1CCF)C(C)(C)C)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
CSCCC(NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC1CCCCC1)C(=O)NC(CS)C(=O)O,CSCCC(NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC1CCCCC1)C(=O)NC(CS)C(=O)O
O=C(COCc1ccccc1)Nc1ccccc1C(=O)NC(Cc1ccccc1)C(O)C(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)COCc1ccccc1,O=C(COCc1ccccc1)Nc1ccccc1C(=O)NC(Cc1ccccc1)C(O)C(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)COCc1ccccc1
C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OC1CC1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OC1CC1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1
CC(C)CCN1C(=O)SC(=Cc2ccc(C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(C(N)=O)c3ccccc3)cc2)C1=O,CC(C)CCN1C(=O)SC(=Cc2ccc(C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(C(N)=O)c3ccccc3)cc2)C1=O
Cc1ccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)cc1N,Cc1ccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)cc1N
CCC(NC(C)CC(N)=O)c1ccc(Cl)c(C(=O)c2ccc(N(C)C)nc2)c1F,CCC(NC(C)CC(N)=O)c1ccc(Cl)c(C(=O)c2ccc(N(C)C)nc2)c1F
CCCC(NC(=O)C1CC(OC(=O)N2Cc3ccccc3C2)CN1C(=O)C(NC(=O)NCCN(CC)CC)C(C)(C)C)B1OC2CC3CC(C3(C)C)C2(C)O1,CCCC(NC(=O)C1CC(OC(=O)N2Cc3ccccc3C2)CN1C(=O)C(NC(=O)NCCN(CC)CC)C(C)(C)C)B1OC2CC3CC(C3(C)C)C2(C)O1
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ncc4c(n3)-c3cc5c(F)cccc5n3CC4)cc12,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ncc4c(n3)-c3cc5c(F)cccc5n3CC4)cc12
CC(C)(C)NC(=O)Nc1nc(Cl)c(CCC2CCCCC2)n(CC(=O)Nc2cc(-c3cncnc3)ccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O,CC(C)(C)NC(=O)Nc1nc(Cl)c(CCC2CCCCC2)n(CC(=O)Nc2cc(-c3cncnc3)ccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O
CCCCC(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC1(C3CCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,CCCCC(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC1(C3CCCS3(=O)=O)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1
CC(C)Cn1c(Cc2nc3ccccc3[nH]2)nc2ccc(C(=O)NC(CP(=O)(O)O)C(=O)O)cc21,CC(C)Cn1c(Cc2nc3ccccc3[nH]2)nc2ccc(C(=O)NC(CP(=O)(O)O)C(=O)O)cc21
Cc1ccc(S(=O)(=O)N(CC(C)C)C(CO)CCCCNC(=O)CN(Cc2ccccc2[N+](=O)[O-])c2ccccc2)cc1,Cc1ccc(S(=O)(=O)N(CC(C)C)C(CO)CCCCNC(=O)CN(Cc2ccccc2[N+](=O)[O-])c2ccccc2)cc1
C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C1CCC1)NC(=O)OCCCCCc1ccc3ccnc(c3c1)O2)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C1CCC1)NC(=O)OCCCCCc1ccc3ccnc(c3c1)O2)C(=O)NS(=O)(=O)C1CC1
C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2nc(-c3ccncc3)cc3ccccc23)cc1)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2nc(-c3ccncc3)cc3ccccc23)cc1)C(=O)NS(=O)(=O)C1CC1
O=C(Cn1cc(COc2cccc(NC(=O)Cn3sc4ccccc4c3=O)c2)nn1)Nc1ccccc1,O=C(Cn1cc(COc2cccc(NC(=O)Cn3sc4ccccc4c3=O)c2)nn1)Nc1ccccc1
CC(C)c1ccc2c(Nc3cc(C(=O)Nc4ccc(-c5c[nH]c(C6CCCN6C(=O)C(c6ccccc6)N(C)C)n5)cc4)ccc3Sc3ccc(N)cc3)ncnc2n1,CC(C)c1ccc2c(Nc3cc(C(=O)Nc4ccc(-c5c[nH]c(C6CCCN6C(=O)C(c6ccccc6)N(C)C)n5)cc4)ccc3Sc3ccc(N)cc3)ncnc2n1
CC1(Cc2ccccc2)CC(Cc2ccccc2)N(CC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)C1=O,CC1(Cc2ccccc2)CC(Cc2ccccc2)N(CC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)C1=O
