uniprot_accession,standard_inchi_key,protein_fragment,drug_name,avg_predictions
P0DTD1_3cl,KMUNHOKTIVSFRA-KXFIGUGUSA-N,3CL-PRO,Filociclovir,6.30459927636088
P0DTD1_3cl,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,3CL-PRO,Trametinib,6.152585082741022
P0DTD1_3cl,QAGYKUNXZHXKMR-HKWSIXNMSA-N,3CL-PRO,Nelfinavir,6.129252163078771
P0DTD1_3cl,RWWYLEGWBNMMLJ-YSOARWBDSA-N,3CL-PRO,Remdesivir,6.129036050346665
P0DTD1_3cl,KKZJGLLVHKMTCM-UHFFFAOYSA-N,3CL-PRO,Mitoxantrone,6.1000501692092
P0DTD1_3cl,UCFGDBYHRUNTLO-QHCPKHFHSA-N,3CL-PRO,Topotecan,6.066414171389187
P0DTD1_3cl,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,3CL-PRO,Hydroxychloroquine,6.056550956764118
P0DTD1_3cl,FNHKPVJBJVTLMP-UHFFFAOYSA-N,3CL-PRO,Regorafenib,6.0476780138407555
P0DTD1_3cl,XEEQGYMUWCZPDN-UHFFFAOYSA-N,3CL-PRO,Mefloquine,6.02112179620033
P0DTD1_3cl,KJHKTHWMRKYKJE-SUGCFTRWSA-N,3CL-PRO,Lopinavir,6.008297565245796
P0DTD1_3cl,MLDQJTXFUGDVEO-UHFFFAOYSA-N,3CL-PRO,Sorafenib,5.994132720683206
P0DTD1_3cl,MPMFCABZENCRHV-UHFFFAOYSA-N,3CL-PRO,Tilorone-(Amixin),5.963718352528619
P0DTD1_3cl,NCDNCNXCDXHOMX-XGKFQTDJSA-N,3CL-PRO,Ritonavir,5.962547079896117
P0DTD1_3cl,RAGOYPUPXAKGKH-XAKZXMRKSA-N,3CL-PRO,Posaconazole,5.961621288211645
P0DTD1_3cl,GAOZTHIDHYLHMS-KEOBGNEYSA-N,3CL-PRO,Monensin,5.954405444545843
P0DTD1_3cl,GXJABQQUPOEUTA-DOTOQJQBSA-N,3CL-PRO,Bortezomib,5.92962188239749
P0DTD1_3cl,GZUITABIAKMVPG-UHFFFAOYSA-N,3CL-PRO,Raloxifene,5.928666826766802
P0DTD1_3cl,GWFOVSGRNGAGDL-FSDSQADBSA-N,3CL-PRO,Lobucavir,5.898069812128
P0DTD1_3cl,LOUPRKONTZGTKE-WZBLMQSHSA-N,3CL-PRO,Quinine,5.8854516002579995
P0DTD1_3cl,BIIVYFLTOXDAOV-YVEFUNNKSA-N,3CL-PRO,Flavopiridol,5.8657188564802905
P0DTD1_3cl,KQXDHUJYNAXLNZ-XQSDOZFQSA-N,3CL-PRO,Salinomycin,5.853016520368035
P0DTD1_3cl,YKJYKKNCCRKFSL-RDBSUJKOSA-N,3CL-PRO,Anisomycin,5.844823100837663
P0DTD1_3cl,AAKJLRGGTJKAMG-UHFFFAOYSA-N,3CL-PRO,Erlotinib,5.842898155411051
P0DTD1_3cl,FJLGEFLZQAZZCD-JUFISIKESA-N,3CL-PRO,Fluvastatin,5.837377989229154
P0DTD1_3cl,OVCDSSHSILBFBN-UHFFFAOYSA-N,3CL-PRO,Amodiaquine,5.830309701916799
P0DTD1_3cl,SGTNSNPWRIOYBX-UHFFFAOYSA-N,3CL-PRO,Verapamil,5.82665881027535
P0DTD1_3cl,ZCOLJUOHXJRHDI-CMWLGVBASA-N,3CL-PRO,Genistin,5.8234720756234895
P0DTD1_3cl,PWWVAXIEGOYWEE-UHFFFAOYSA-N,3CL-PRO,Promethazine,5.820169251331414
