Ligand	Binding Affinity	rmsd/ub	 rmsd/lb		Compound_Name
6w02_prep_136968143_uff_E=255026742171.97	-12.3	0	0		rifabutin
6w02_prep_16045418_uff_E=1029.32	-9.6	0	0		MK-4965
6w02_prep_54718859_uff_E=370.32	-9.6	0	0		GSK-364735
6w02_prep_54713659_uff_E=498.77	-9.5	0	0		Cabotegravir
6w02_prep_90116675_uff_E=2753.61	-9.4	0	0		PLX-8394
6w02_prep_25141092_uff_E=998.80	-9.3	0	0		Entrectinib
6w02_prep_9806229_uff_E=893.21	-9	0	0		MP-412
6w02_prep_6918643_uff_E=531.44	-8.9	0	0		L-870812
6w02_prep_54682040_uff_E=929.04	-8.8	0	0		BMS-707035
6w02_prep_92727_uff_E=1058.66	-8.7	0	0		Lopinavir
6w02_prep_214347_uff_E=822.71	-8.7	0	0		Dapivirine
6w02_prep_67315776_uff_E=2003.34	-8.7	0	0		HKI-357
6w02_prep_51001932_uff_E=1238.68	-8.6	0	0		Taselisib
6w02_prep_290486_uff_E=634.86	-8.3	0	0		API-2
6w02_prep_11497983_uff_E=2001.28	-8.3	0	0		Barasertib
6w02_prep_71548617_uff_E=2292.79	-8.3	0	0		BMS-754807
6w02_prep_2642_uff_E=1710.01	-8.3	0	0		cefpiramide
6w02_prep_54682461_uff_E=1457.71	-8.3	0	0		Tipranavir
6w02_prep_25212148_uff_E=2650.84	-8.2	0	0		Sitravatinib
6w02_prep_49830590_uff_E=1507.80	-8.2	0	0		PF-03814735
6w02_prep_2639_uff_E=1826.67	-8.1	0	0		cefozopran
6w02_prep_129901167_uff_E=1393.94	-8.1	0	0		VCH-286
6w02_prep_43860_uff_E=1256.23	-8.1	0	0		Triciribine phosphate
6w02_prep_2782_uff_E=650.98	-8	0	0		Clemizol
6w02_prep_5277135_uff_E=645.66	-8	0	0		Elvitegravir
6w02_prep_71251696_uff_E=3657.28	-8	0	0		VBY-825
6w02_prep_76415573_uff_E=1366.96	-8	0	0		Remdesivir
6w02_prep_53477157_uff_E=987.66	-7.8	0	0		BMS-903452
6w02_prep_49830398_uff_E=1003.27	-7.8	0	0		R-763
6w02_prep_392622_uff_E=1490.57	-7.7	0	0		Ritonavir
6w02_prep_66377_uff_E=398.45	-7.6	0	0		EDOXUDINE
6w02_prep_35370_uff_E=1115.62	-7.4	0	0		ZIDOVUDINE
6w02_prep_72981_uff_E=1225.06	-7.2	0	0		PALINAVIR
6w02_prep_135409256_uff_E=2092.05	-7.1	0	0		Filociclovir
6w02_prep_11578126_uff_E=2475.53	-6.7	0	0		ACT-077825
6w02_prep_11686305_uff_E=1465.05	-6.6	0	0		Goxalapladib
6w02_prep_66811198_uff_E=4771.13	-6.1	0	0		Simeprevir
6w02_prep_60855_uff_E=550.19	-5.9	0	0		Zanamivir
6w02_prep_3385_uff_E=45.84	-5.2	0	0		Fluorouracil
6w02_prep_3503_uff_E=1191.79	-4.2	0	0		Gossypol
6w02_prep_54697325_uff_E=1222.87	-2.6	0	0		Omadacycline
6w02_prep_25023695_uff_E=1784.92	-2.2	0	0		Brilacidin
6w02_prep_435439_uff_E=1492.60	-2.1	0	0		BIETASERPINE
6w02_prep_24978538_uff_E=3765.27	1.9	0	0		ABT-263
6w02_prep_45110509_uff_E=4665.20	5.6	0	0		paritaprevir
6w02_prep_44556044_uff_E=1892.88	11.7	0	0		TMC-647055
6w02_prep_135459775_uff_E=3851.75	72.4	0	0		LM 565
