Compounds & PPS_3Cl & BE_3Cl & PPS_Pl & BE_Pl & PPS_Spike & BE_Spike
Lopinavir & 7.777 & -6.3 & 7.851 & -8.7 & 8.226 & -5
Ritonavir & 7.562 & -6.4 & 7.777 & -7.7 & 7.845 & -5.5
PALINAVIR & 7.416 & -6.4 & 7.48 & -7.2 & 7.699 & -6
Simeprevir & 7.646 & -5.6 & 7.476 & -6.1 & 8.206 & -6.2
Cabotegravir & 7.194 & -7.1 & 6.951 & -9.5 & 7.002 & -6.8
L-870812 & 6.937 & -7.1 & 6.895 & -8.9 & 6.68 & -7.2
MK-4965 & 7.319 & -7.5 & 6.893 & -9.6 & 7.302 & -7.1
Tipranavir & 6.634 & -7.4 & 6.83 & -8.3 & 6.794 & -6.6
Zanamivir & 6.798 & -5.7 & 6.801 & -5.9 & 6.748 & -5.9
BMS-707035 & 6.938 & -7.2 & 6.766 & -8.8 & 6.511 & -6.6
GSK-364735 & 7.086 & -6.4 & 6.745 & -9.6 & 6.552 & -7
paritaprevir & 6.751 & -6.8 & 6.571 & 5.6 & 7.443 & -6.2
Filociclovir & 6.542 & -5.7 & 6.463 & -7.1 & 6.647 & -6.2
TMC-647055 & 6.717 & -5.8 & 6.459 & 11.7 & 6.539 & -5.5
Elvitegravir & 6.462 & -6.8 & 6.402 & -8 & 6.236 & -5.7
Dapivirine & 6.584 & -6.7 & 6.385 & -8.7 & 6.32 & -6.4
PLX-8394 & 6.208 & -9.1 & 6.358 & -9.4 & 6.494 & -7.2
Triciribine phosphate & 6.385 & -6.7 & 6.354 & -8.1 & 6.314 & -6.5
ZIDOVUDINE & 5.966 & -5.7 & 6.279 & -7.4 & 6.264 & -5.6
API-2 & 5.964 & -6.7 & 6.175 & -8.3 & 6.208 & -5.7
Fluorouracil & 5.965 & -4.5 & 6.157 & -5.2 & 6.353 & -4.6
Gossypol & 6.029 & -5.7 & 6.11 & -4.2 & 6.069 & -6
LM 565 & 6.137 & 8.7 & 6.094 & 72.4 & 6.461 & -2.9
PF-03814735 & 6.051 & -7.6 & 6.091 & -8.2 & 6.126 & -7.1
Barasertib & 6.006 & -8 & 6.087 & -8.3 & 6.171 & -6.8
EDOXUDINE & 5.925 & -5.9 & 6.075 & -7.6 & 6.246 & -5.6
cefozopran & 5.884 & -7 & 6.049 & -8.1 & 6.255 & -6
Entrectinib & 6.231 & -6.8 & 6.039 & -9.3 & 6.023 & -7
Clemizol & 6.085 & -6.2 & 6.015 & -8 & 6.105 & -6
VBY-825 & 6.112 & -6 & 6.006 & -8 & 6.07 & -4.7
R-763 & 6.158 & -6.6 & 6.002 & -7.8 & 6.26 & -6.7
BIETASERPINE & 6.054 & -6.1 & 5.994 & -2.1 & 6.323 & -4.9
ACT-077825 & 5.916 & -6.9 & 5.973 & -6.7 & 6.223 & -4.8
MP-412 & 6.069 & -6.6 & 5.971 & -9 & 6.243 & -5.6
Remdesivir & 5.907 & -6.2 & 5.964 & -8 & 6.37 & -6.4
ABT-263 & 6.005 & -4.2 & 5.925 & 1.9 & 6.211 & -5.6
BMS-903452 & 5.929 & -6.9 & 5.913 & -7.8 & 6.174 & -6.3
Brilacidin & 6.016 & -5.7 & 5.913 & -2.2 & 6.266 & -5.2
Taselisib & 5.934 & -7 & 5.906 & -8.6 & 6.142 & -7.1
Goxalapladib & 5.982 & -6.9 & 5.905 & -6.6 & 6.27 & -5.1
HKI-357 & 6.009 & -6.8 & 5.884 & -8.7 & 6.143 & -6.2
Sitravatinib & 5.895 & -6.3 & 5.879 & -8.2 & 6.069 & -7
rifabutin & 5.904 & -9.4 & 5.878 & -12.3 & 6.136 & -12.1
Omadacycline & 6.002 & -6.1 & 5.865 & -2.6 & 6.251 & -5.3
cefpiramide & 5.883 & -6.8 & 5.851 & -8.3 & 6.179 & -5.9
VCH-286 & 5.88 & -6.6 & 5.847 & -8.1 & 6.028 & -4.6
BMS-754807 & 5.915 & -6.6 & 5.833 & -8.3 & 6.095 & -7.1
