uniprot_accession,standard_inchi_key,protein_fragment,drug_name,avg_predictions
P0DTC2_sp,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Trametinib,6.473427040089743
P0DTC2_sp,KKZJGLLVHKMTCM-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Mitoxantrone,6.404975185330774
P0DTC2_sp,KMUNHOKTIVSFRA-KXFIGUGUSA-N,SPIKE_SARS2_glycoprotein,Filociclovir,6.3276510532069405
P0DTC2_sp,GXJABQQUPOEUTA-DOTOQJQBSA-N,SPIKE_SARS2_glycoprotein,Bortezomib,6.3186592016221255
P0DTC2_sp,RAGOYPUPXAKGKH-XAKZXMRKSA-N,SPIKE_SARS2_glycoprotein,Posaconazole,6.3066021171194455
P0DTC2_sp,UCFGDBYHRUNTLO-QHCPKHFHSA-N,SPIKE_SARS2_glycoprotein,Topotecan,6.30177209367559
P0DTC2_sp,KJHKTHWMRKYKJE-SUGCFTRWSA-N,SPIKE_SARS2_glycoprotein,Lopinavir,6.300820301675951
P0DTC2_sp,NCDNCNXCDXHOMX-XGKFQTDJSA-N,SPIKE_SARS2_glycoprotein,Ritonavir,6.294195470687658
P0DTC2_sp,KQXDHUJYNAXLNZ-XQSDOZFQSA-N,SPIKE_SARS2_glycoprotein,Salinomycin,6.2702110999323635
P0DTC2_sp,GAOZTHIDHYLHMS-KEOBGNEYSA-N,SPIKE_SARS2_glycoprotein,Monensin,6.258632177364288
P0DTC2_sp,RWWYLEGWBNMMLJ-YSOARWBDSA-N,SPIKE_SARS2_glycoprotein,Remdesivir,6.252549202378508
P0DTC2_sp,MPMFCABZENCRHV-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Tilorone-(Amixin),6.250110519850949
P0DTC2_sp,QAGYKUNXZHXKMR-HKWSIXNMSA-N,SPIKE_SARS2_glycoprotein,Nelfinavir,6.231175739250849
P0DTC2_sp,FNHKPVJBJVTLMP-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Regorafenib,6.19040745002585
P0DTC2_sp,GZUITABIAKMVPG-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Raloxifene,6.182245156421572
P0DTC2_sp,ZIMMTPFXOMAJTQ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Apoptozole,6.147057077078036
P0DTC2_sp,YOSHYTLCDANDAN-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Irbesartan,6.10855704512371
P0DTC2_sp,MQTOSJVFKKJCRP-BICOPXKESA-N,SPIKE_SARS2_glycoprotein,Azithromycin,6.107564832555297
P0DTC2_sp,YKJYKKNCCRKFSL-RDBSUJKOSA-N,SPIKE_SARS2_glycoprotein,Anisomycin,6.101468391668749
P0DTC2_sp,MLDQJTXFUGDVEO-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Sorafenib,6.0995033165744115
P0DTC2_sp,XEEQGYMUWCZPDN-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Mefloquine,6.099174629857848
